patient,sample,lane,fastq_1,fastq_2
SRR12010215,SRR12010215,1,data/SRR12010215_1.fastq.gz,data/SRR12010215_2.fastq.gz
SRR12010217,SRR12010217,1,data/SRR12010217_1.fastq.gz,data/SRR12010217_2.fastq.gz
SRR12010218,SRR12010218,1,data/SRR12010218_1.fastq.gz,data/SRR12010218_2.fastq.gz
SRR12010219,SRR12010219,1,data/SRR12010219_1.fastq.gz,data/SRR12010219_2.fastq.gz
SRR12010220,SRR12010220,1,data/SRR12010220_1.fastq.gz,data/SRR12010220_2.fastq.gz
SRR12010222,SRR12010222,1,data/SRR12010222_1.fastq.gz,data/SRR12010222_2.fastq.gz
SRR12010224,SRR12010224,1,data/SRR12010224_1.fastq.gz,data/SRR12010224_2.fastq.gz
SRR12010226,SRR12010226,1,data/SRR12010226_1.fastq.gz,data/SRR12010226_2.fastq.gz
SRR12010229,SRR12010229,1,data/SRR12010229_1.fastq.gz,data/SRR12010229_2.fastq.gz
SRR12010230,SRR12010230,1,data/SRR12010230_1.fastq.gz,data/SRR12010230_2.fastq.gz
SRR12010231,SRR12010231,1,data/SRR12010231_1.fastq.gz,data/SRR12010231_2.fastq.gz
SRR12010233,SRR12010233,1,data/SRR12010233_1.fastq.gz,data/SRR12010233_2.fastq.gz
SRR12010234,SRR12010234,1,data/SRR12010234_1.fastq.gz,data/SRR12010234_2.fastq.gz
SRR12010235,SRR12010235,1,data/SRR12010235_1.fastq.gz,data/SRR12010235_2.fastq.gz
SRR12010237,SRR12010237,1,data/SRR12010237_1.fastq.gz,data/SRR12010237_2.fastq.gz
SRR12010239,SRR12010239,1,data/SRR12010239_1.fastq.gz,data/SRR12010239_2.fastq.gz
SRR12010240,SRR12010240,1,data/SRR12010240_1.fastq.gz,data/SRR12010240_2.fastq.gz
SRR12010241,SRR12010241,1,data/SRR12010241_1.fastq.gz,data/SRR12010241_2.fastq.gz
SRR12010242,SRR12010242,1,data/SRR12010242_1.fastq.gz,data/SRR12010242_2.fastq.gz
SRR12010243,SRR12010243,1,data/SRR12010243_1.fastq.gz,data/SRR12010243_2.fastq.gz
SRR12010244,SRR12010244,1,data/SRR12010244_1.fastq.gz,data/SRR12010244_2.fastq.gz
SRR12010247,SRR12010247,1,data/SRR12010247_1.fastq.gz,data/SRR12010247_2.fastq.gz
SRR12010252,SRR12010252,1,data/SRR12010252_1.fastq.gz,data/SRR12010252_2.fastq.gz
SRR12010253,SRR12010253,1,data/SRR12010253_1.fastq.gz,data/SRR12010253_2.fastq.gz
SRR12010254,SRR12010254,1,data/SRR12010254_1.fastq.gz,data/SRR12010254_2.fastq.gz
